統計名：,検察統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,/時間軸(年次),2021年,2021年,2021年,2020年,2020年,2020年,2019年,2019年,2019年,2018年,2018年,2018年,2017年,2017年,2017年,2016年,2016年,2016年,2015年,2015年,2015年,2014年,2014年,2014年,2013年,2013年,2013年,2012年,2012年,2012年,2011年,2011年,2011年,2010年,2010年,2010年,2009年,2009年,2009年,2008年,2008年,2008年,2007年,2007年,2007年,2006年,2006年,2006年,2005年,2005年,2005年,2002年,2002年,2002年,2001年,2001年,2001年,2000年,2000年,2000年,1999年,1999年,1999年,1998年,1998年,1998年,1997年,1997年,1997年,1996年,1996年,1996年,1995年,1995年,1995年,1994年,1994年,1994年,1993年,1993年,1993年
,,,,/既済事由 コード,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290
表章項目 コード,表章項目,罪名_年次 コード,罪名_年次,/既済事由,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】
120,人員,1010,刑法犯_窃盗,,"29,428","38,115",43.6,"31,229","40,307",43.7,"32,162","42,323",43.2,"31,326","44,901",41.1,"31,687","45,673",41.0,"32,352","46,594",41.0,"34,746","47,439",42.3,"34,882","48,004",42.1,"35,279","50,123",41.3,"38,212","52,238",42.2,"40,793","52,375",43.8,"42,365","56,638",42.8,"43,177","55,390",43.8,"43,071","58,613",42.4,"44,303","67,456",39.6,"44,568","77,201",36.6,"43,455","60,007",42.0,"39,018","33,134",54.1,"35,235","29,009",54.8,"32,147","26,842",54.5,"31,535","22,380",58.5,"29,243","21,055",58.1,"26,326","21,106",55.5,"25,718","21,327",54.7,"26,628","21,858",54.9,"27,879","22,870",54.9,"27,811","23,310",54.4
120,人員,1020,刑法犯_強盗,,244,481,33.7,370,394,48.4,337,421,44.5,386,419,48.0,373,455,45.0,521,552,48.6,574,675,46.0,715,331,68.4,785,240,76.6,898,251,78.2,916,568,61.7,"1,014",627,61.8,"1,271",652,66.1,997,597,62.5,"1,168",473,71.2,"1,413",355,79.9,"1,604",308,83.9,"1,348",260,83.8,"1,132",247,82.1,"1,067",204,83.9,976,171,85.1,813,153,84.2,601,153,79.7,558,149,78.9,622,166,78.9,682,145,82.5,588,152,79.5
120,人員,1030,刑法犯_強盗致死傷,,138,664,17.2,328,562,36.9,253,233,52.1,300,143,67.7,262,134,66.2,247,159,60.8,334,285,54.0,357,601,37.3,398,759,34.4,375,619,37.7,472,593,44.3,522,453,53.5,660,369,64.1,683,273,71.4,770,246,75.8,"1,001",248,80.1,"1,230",182,87.1,"1,134",206,84.6,986,126,88.7,912,140,86.7,872,151,85.2,637,124,83.7,476,107,81.6,426,103,80.5,413,85,82.9,440,123,78.2,441,97,82.0
120,人員,1035,刑法犯_強盗・強制性交等,,24,19,55.8,28,38,42.4,16,8,66.7,30,4,88.2,22,4,84.6,19,3,86.4,36,18,66.7,38,40,48.7,59,44,57.3,57,45,55.9,78,44,63.9,99,38,72.3,129,34,79.1,117,13,90.0,136,40,77.3,149,18,89.2,166,28,85.6,124,18,87.3,90,10,90.0,130,12,91.5,108,8,93.1,105,11,90.5,89,5,94.7,51,8,86.4,51,11,82.3,60,10,85.7,68,23,74.7
120,人員,1070,刑法犯_詐欺,,"8,653","7,764",52.7,"6,903","5,753",54.5,"7,863","5,921",57.0,"8,509","6,501",56.7,"9,109","6,460",58.5,"9,408","7,334",56.2,"9,990","7,489",57.2,"8,794","7,189",55.0,"8,962","7,837",53.3,"9,169","7,492",55.0,"8,648","7,170",54.7,"10,072","6,689",60.1,"12,111","6,399",65.4,"11,224","6,250",64.2,"10,391","5,759",64.3,"12,321","6,008",67.2,"11,911","5,289",69.3,"9,627","4,849",66.5,"9,027","4,144",68.5,"8,269","3,970",67.6,"7,508","3,360",69.1,"7,168","3,693",66.0,"7,015","3,694",65.5,"6,462","3,594",64.3,"6,209","3,778",62.2,"6,741","4,125",62.0,"6,147","4,174",59.6
120,人員,1090,刑法犯_恐喝,,417,"1,016",29.1,452,"1,102",29.1,541,"1,127",32.4,583,"1,347",30.2,609,"1,315",31.7,681,"1,331",33.8,686,"1,433",32.4,869,"1,583",35.4,989,"1,536",39.2,"1,103","1,653",40.0,"1,039","1,713",37.8,"1,376","1,973",41.1,"1,594","2,151",42.6,"1,737","2,083",45.5,"2,305","2,147",51.8,"2,807","2,115",57.0,"3,078","2,105",59.4,"3,360","1,966",63.1,"3,540","1,777",66.6,"3,615","1,719",67.8,"2,596","1,390",65.1,"2,559","1,545",62.4,"2,226","1,435",60.8,"2,064","1,479",58.3,"2,272","1,544",59.5,"2,322","1,883",55.2,"2,220","1,788",55.4
120,人員,1100,刑法犯_横領,,"1,142","4,626",19.8,"1,378","5,231",20.9,"1,342","5,317",20.2,"1,278","6,243",17.0,"1,323","6,349",17.2,"1,363","6,748",16.8,"1,664","7,178",18.8,"1,608","7,318",18.0,"1,729","7,980",17.8,"2,007","8,705",18.7,"2,184","8,828",19.8,"2,222","9,909",18.3,"2,349","11,050",17.5,"2,116","10,988",16.1,"2,212","13,075",14.5,"2,435","13,485",15.3,"2,089","12,596",14.2,"1,849","7,499",19.8,"1,491","6,516",18.6,"1,290","5,111",20.2,"1,056","5,322",16.6,"1,049","4,882",17.7,985,"5,005",16.4,905,"4,988",15.4,846,"5,246",13.9,"1,013","5,129",16.5,901,"4,041",18.2
120,人員,1140,刑法犯_盗品等関係,,85,338,20.1,129,377,25.5,101,347,22.5,108,377,22.3,113,407,21.7,142,432,24.7,197,458,30.1,172,433,28.4,141,488,22.4,171,500,25.5,219,490,30.9,183,519,26.1,273,512,34.8,397,447,47.0,374,504,42.6,561,568,49.7,750,667,52.9,426,462,48.0,410,411,49.9,308,298,50.8,253,241,51.2,210,253,45.4,195,248,44.0,192,228,45.7,143,165,46.4,91,207,30.5,99,142,41.1
120,人員,1150,刑法犯_毀棄・隠匿,,"1,610","5,567",22.4,"1,645","5,807",22.1,"1,688","5,916",22.2,"1,603","6,058",20.9,"1,617","6,485",20.0,"1,896","6,670",22.1,"1,997","6,931",22.4,"2,057","6,422",24.3,"2,025","6,598",23.5,"2,107","6,318",25.0,"2,050","6,140",25.0,"2,021","6,090",24.9,"2,145","6,275",25.5,"2,336","6,542",26.3,"2,523","6,798",27.1,"2,689","6,816",28.3,"2,655","7,041",27.4,"2,423","4,264",36.2,"2,110","3,090",40.6,"1,943","2,766",41.3,"1,236","1,678",42.4,"1,158","1,631",41.5,"1,132","1,678",40.3,"1,059","1,657",39.0,982,"1,654",37.3,"1,025","1,701",37.6,962,"1,665",36.6
120,人員,1180,刑法犯_暴力行為等処罰に関する法律,,544,"1,234",30.6,584,"1,144",33.8,642,"1,109",36.7,631,"1,101",36.4,672,"1,099",37.9,771,"1,073",41.8,731,946,43.6,719,875,45.1,803,864,48.2,873,785,52.7,800,702,53.3,977,609,61.6,994,698,58.7,"1,083",727,59.8,"1,216",691,63.8,"1,496",759,66.3,"1,532",715,68.2,"1,629",565,74.2,"1,481",538,73.4,"1,441",517,73.6,"1,159",380,75.3,"1,314",469,73.7,"1,253",501,71.4,"1,259",433,74.4,"1,273",513,71.3,"1,408",621,69.4,"1,490",635,70.1
