第１表,,,,刑法犯　罪種別　認知・検挙件数・検挙人員　対前年比較,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙率,検挙率,検挙率,検挙人員,検挙人員,検挙人員,検挙人員,"検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,罪種,"2022年
1～12月","2021年
1～12月",増減,増減率(％）,"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減ポイント,"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減,増減率(％),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,大分県,117,140,-23,-16.4,116,118,-2,-1.7,24,31,-7,-22.6,99.1,84.3,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,宮崎県,109,165,-56,-33.9,70,135,-65,-48.1,24,25,-1,-4,64.2,81.8,-17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,鹿児島県,198,186,12,6.5,85,133,-48,-36.1,26,57,-31,-54.4,42.9,71.5,-28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,沖縄県,201,195,6,3.1,108,118,-10,-8.5,43,51,-8,-15.7,53.7,60.5,-6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第６表,,,重要犯罪・重要窃盗犯　都道府県別　認知・検挙件数・検挙人員　対前年比較　（自動車盗）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙人員,検挙人員,検挙人員,検挙人員,検挙率,検挙率,検挙率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,都道府県,"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減,増減率(％）,"2022年
1～12月","2021年
1～12月",増減ポイント,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
総数,,5734,5182,552,10.7,2612,2556,56,2.2,625,634,-9,-1.4,45.6,49.3,-3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,計,87,37,50,135.1,69,35,34,97.1,32,21,11,52.4,79.3,94.6,-15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,札幌方面,62,25,37,148,46,23,23,100,18,15,3,20,74.2,92,-17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,函館方面,2,2,0,0,2,2,0,0,2,0,2,0,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,旭川方面,8,4,4,100,11,5,6,120,9,4,5,125,137.5,125,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,釧路方面,4,3,1,33.3,0,3,-3,-100,0,1,-1,-100,0,100,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,北見方面,11,3,8,266.7,10,2,8,400,3,1,2,200,90.9,66.7,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,計,166,152,14,9.2,112,65,47,72.3,41,34,7,20.6,67.5,42.8,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,青森県,12,12,0,0,9,7,2,28.6,4,5,-1,-20,75,58.3,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,岩手県,12,10,2,20,8,4,4,100,6,1,5,500,66.7,40,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
