第１表,,,,刑法犯　罪種別　認知・検挙件数・検挙人員　対前年比較,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙率,検挙率,検挙率,検挙人員,検挙人員,検挙人員,検挙人員,"検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,罪種,"2022年
1～12月","2021年
1～12月",増減,増減率(％）,"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減ポイント,"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減,増減率(％),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,長崎県,0,5,-5,-100,0,5,-5,-100,0,7,-7,-100,0,100,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,熊本県,5,7,-2,-28.6,5,10,-5,-50,9,13,-4,-30.8,100,142.9,-42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,大分県,2,4,-2,-50,2,4,-2,-50,2,11,-9,-81.8,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,宮崎県,3,4,-1,-25,2,5,-3,-60,4,8,-4,-50,66.7,125,-58.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,鹿児島県,10,5,5,100,8,5,3,60,7,7,0,0,80,100,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,沖縄県,13,7,6,85.7,10,6,4,66.7,16,7,9,128.6,76.9,85.7,-8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第６表,,,重要犯罪・重要窃盗犯　都道府県別　認知・検挙件数・検挙人員　対前年比較　（侵入強盗）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙人員,検挙人員,検挙人員,検挙人員,検挙率,検挙率,検挙率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,都道府県,"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減,増減率(％）,"2022年
1～12月","2021年
1～12月",増減ポイント,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
総数,,290,297,-7,-2.4,280,296,-16,-5.4,354,426,-72,-16.9,96.6,99.7,-3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,計,15,9,6,66.7,12,8,4,50,11,8,3,37.5,80,88.9,-8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,札幌方面,11,6,5,83.3,11,5,6,120,10,4,6,150,100,83.3,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,函館方面,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,旭川方面,1,1,0,0,0,1,-1,-100,0,1,-1,-100,0,100,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,釧路方面,2,2,0,0,1,2,-1,-50,1,3,-2,-66.7,50,100,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,北見方面,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,計,18,11,7,63.6,16,9,7,77.8,18,11,7,63.6,88.9,81.8,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,青森県,0,0,0,0,0,0,0,0,0,1,-1,-100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,岩手県,1,2,-1,-50,1,1,0,0,1,1,0,0,100,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,宮城県,10,4,6,150,9,3,6,200,11,4,7,175,90,75,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,秋田県,2,1,1,100,2,1,1,100,2,1,1,100,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,福島県,5,4,1,25,4,4,0,0,4,4,0,0,80,100,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都,,45,57,-12,-21.1,52,56,-4,-7.1,73,79,-6,-7.6,115.6,98.2,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,計,95,84,11,13.1,96,83,13,15.7,107,120,-13,-10.8,101.1,98.8,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,茨城県,13,10,3,30,5,9,-4,-44.4,14,17,-3,-17.6,38.5,90,-51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,栃木県,5,3,2,66.7,6,2,4,200,4,4,0,0,120,66.7,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,群馬県,2,2,0,0,4,2,2,100,5,16,-11,-68.8,200,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,埼玉県,17,16,1,6.3,20,16,4,25,21,13,8,61.5,117.6,100,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,千葉県,19,17,2,11.8,17,18,-1,-5.6,10,20,-10,-50,89.5,105.9,-16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,神奈川県,22,24,-2,-8.3,21,25,-4,-16,27,27,0,0,95.5,104.2,-8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,新潟県,3,3,0,0,9,3,6,200,4,3,1,33.3,300,100,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,山梨県,2,2,0,0,3,3,0,0,8,10,-2,-20,150,150,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,長野県,6,4,2,50,7,1,6,600,7,3,4,133.3,116.7,25,91.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,静岡県,6,3,3,100,4,4,0,0,7,7,0,0,66.7,133.3,-66.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,計,34,33,1,3,29,40,-11,-27.5,39,44,-5,-11.4,85.3,121.2,-35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,富山県,1,0,1,0,1,1,0,0,1,0,1,0,100,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,石川県,1,2,-1,-50,1,2,-1,-50,1,5,-4,-80,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,福井県,0,1,-1,-100,0,1,-1,-100,0,1,-1,-100,0,100,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,岐阜県,3,3,0,0,2,4,-2,-50,1,3,-2,-66.7,66.7,133.3,-66.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,愛知県,22,22,0,0,18,26,-8,-30.8,30,31,-1,-3.2,81.8,118.2,-36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,三重県,7,5,2,40,7,6,1,16.7,6,4,2,50,100,120,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,計,44,45,-1,-2.2,42,41,1,2.4,60,90,-30,-33.3,95.5,91.1,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,滋賀県,3,1,2,200,3,1,2,200,3,2,1,50,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,京都府,7,8,-1,-12.5,10,7,3,42.9,9,15,-6,-40,142.9,87.5,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,大阪府,25,23,2,8.7,22,19,3,15.8,38,46,-8,-17.4,88,82.6,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,兵庫県,8,8,0,0,7,9,-2,-22.2,10,22,-12,-54.5,87.5,112.5,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,奈良県,0,3,-3,-100,0,3,-3,-100,0,3,-3,-100,0,100,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,和歌山県,1,2,-1,-50,0,2,-2,-100,0,2,-2,-100,0,100,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,計,14,17,-3,-17.6,12,17,-5,-29.4,11,18,-7,-38.9,85.7,100,-14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,鳥取県,0,2,-2,-100,0,2,-2,-100,1,1,0,0,0,100,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,島根県,0,2,-2,-100,0,2,-2,-100,0,2,-2,-100,0,100,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,岡山県,1,5,-4,-80,1,5,-4,-80,0,8,-8,-100,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,広島県,9,6,3,50,8,6,2,33.3,8,5,3,60,88.9,100,-11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,山口県,4,2,2,100,3,2,1,50,2,2,0,0,75,100,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,計,7,9,-2,-22.2,6,10,-4,-40,9,13,-4,-30.8,85.7,111.1,-25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,徳島県,1,0,1,0,1,0,1,0,1,1,0,0,100,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,香川県,2,3,-1,-33.3,2,3,-1,-33.3,3,4,-1,-25,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,愛媛県,2,4,-2,-50,1,4,-3,-75,2,2,0,0,50,100,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,高知県,2,2,0,0,2,3,-1,-33.3,3,6,-3,-50,100,150,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,計,18,32,-14,-43.8,15,32,-17,-53.1,26,43,-17,-39.5,83.3,100,-16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,福岡県,7,16,-9,-56.3,6,14,-8,-57.1,12,16,-4,-25,85.7,87.5,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,佐賀県,0,2,-2,-100,0,2,-2,-100,0,2,-2,-100,0,100,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,長崎県,0,4,-4,-100,0,4,-4,-100,0,6,-6,-100,0,100,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,熊本県,1,3,-2,-66.7,1,4,-3,-75,3,4,-1,-25,100,133.3,-33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,大分県,1,1,0,0,1,1,0,0,1,7,-6,-85.7,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,宮崎県,1,2,-1,-50,1,3,-2,-66.7,2,3,-1,-33.3,100,150,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,鹿児島県,3,0,3,0,3,0,3,0,5,0,5,0,100,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,沖縄県,5,4,1,25,3,4,-1,-25,3,5,-2,-40,60,100,-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第６表,,,重要犯罪・重要窃盗犯　都道府県別　認知・検挙件数・検挙人員　対前年比較　（放火）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙人員,検挙人員,検挙人員,検挙人員,検挙率,検挙率,検挙率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,都道府県,"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減,増減率(％）,"2022年
1～12月","2021年
1～12月",増減ポイント,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
総数,,781,749,32,4.3,644,664,-20,-3,532,534,-2,-0.4,82.5,88.7,-6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,計,27,24,3,12.5,22,24,-2,-8.3,19,21,-2,-9.5,81.5,100,-18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,札幌方面,17,15,2,13.3,14,15,-1,-6.7,14,11,3,27.3,82.4,100,-17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,函館方面,2,2,0,0,2,2,0,0,2,2,0,0,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,旭川方面,3,3,0,0,1,3,-2,-66.7,0,3,-3,-100,33.3,100,-66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,釧路方面,3,1,2,200,4,1,3,300,3,2,1,50,133.3,100,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,北見方面,2,3,-1,-33.3,1,3,-2,-66.7,0,3,-3,-100,50,100,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,計,33,61,-28,-45.9,28,61,-33,-54.1,23,38,-15,-39.5,84.8,100,-15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,青森県,5,15,-10,-66.7,5,14,-9,-64.3,7,7,0,0,100,93.3,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,岩手県,4,7,-3,-42.9,1,6,-5,-83.3,1,5,-4,-80,25,85.7,-60.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,宮城県,14,15,-1,-6.7,12,16,-4,-25,9,12,-3,-25,85.7,106.7,-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,秋田県,4,2,2,100,4,3,1,33.3,2,4,-2,-50,100,150,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,山形県,3,9,-6,-66.7,3,9,-6,-66.7,1,1,0,0,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,福島県,3,13,-10,-76.9,3,13,-10,-76.9,3,9,-6,-66.7,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都,,62,53,9,17,59,57,2,3.5,51,47,4,8.5,95.2,107.5,-12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,計,220,169,51,30.2,199,149,50,33.6,147,123,24,19.5,90.5,88.2,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,茨城県,27,14,13,92.9,22,10,12,120,16,10,6,60,81.5,71.4,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,栃木県,8,17,-9,-52.9,11,13,-2,-15.4,7,10,-3,-30,137.5,76.5,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,群馬県,13,7,6,85.7,13,7,6,85.7,13,5,8,160,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,埼玉県,48,43,5,11.6,43,42,1,2.4,39,36,3,8.3,89.6,97.7,-8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,千葉県,26,27,-1,-3.7,20,18,2,11.1,14,13,1,7.7,76.9,66.7,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,神奈川県,45,27,18,66.7,42,30,12,40,20,21,-1,-4.8,93.3,111.1,-17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,新潟県,18,8,10,125,18,7,11,157.1,16,7,9,128.6,100,87.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,山梨県,6,4,2,50,5,2,3,150,5,1,4,400,83.3,50,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,長野県,11,9,2,22.2,12,7,5,71.4,7,5,2,40,109.1,77.8,31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,静岡県,18,13,5,38.5,13,13,0,0,10,15,-5,-33.3,72.2,100,-27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,計,44,72,-28,-38.9,37,56,-19,-33.9,34,46,-12,-26.1,84.1,77.8,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,富山県,4,4,0,0,3,4,-1,-25,4,4,0,0,75,100,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,石川県,1,3,-2,-66.7,1,3,-2,-66.7,1,3,-2,-66.7,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,福井県,2,2,0,0,2,2,0,0,2,2,0,0,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,岐阜県,5,13,-8,-61.5,5,5,0,0,5,4,1,25,100,38.5,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,愛知県,27,42,-15,-35.7,21,35,-14,-40,17,30,-13,-43.3,77.8,83.3,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,三重県,5,8,-3,-37.5,5,7,-2,-28.6,5,3,2,66.7,100,87.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,計,222,195,27,13.8,158,161,-3,-1.9,142,126,16,12.7,71.2,82.6,-11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,滋賀県,11,6,5,83.3,3,8,-5,-62.5,2,8,-6,-75,27.3,133.3,-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,京都府,14,14,0,0,12,16,-4,-25,12,13,-1,-7.7,85.7,114.3,-28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,大阪府,130,130,0,0,90,98,-8,-8.2,82,73,9,12.3,69.2,75.4,-6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,兵庫県,58,37,21,56.8,45,31,14,45.2,38,23,15,65.2,77.6,83.8,-6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,奈良県,8,5,3,60,7,5,2,40,7,6,1,16.7,87.5,100,-12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,和歌山県,1,3,-2,-66.7,1,3,-2,-66.7,1,3,-2,-66.7,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,計,53,58,-5,-8.6,49,55,-6,-10.9,37,50,-13,-26,92.5,94.8,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,鳥取県,3,5,-2,-40,3,5,-2,-40,2,5,-3,-60,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,島根県,7,4,3,75,6,4,2,50,6,4,2,50,85.7,100,-14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,岡山県,21,10,11,110,21,10,11,110,15,10,5,50,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,広島県,20,27,-7,-25.9,17,24,-7,-29.2,12,20,-8,-40,85,88.9,-3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,山口県,2,12,-10,-83.3,2,12,-10,-83.3,2,11,-9,-81.8,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,計,22,20,2,10,21,22,-1,-4.5,14,19,-5,-26.3,95.5,110,-14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,徳島県,1,2,-1,-50,1,2,-1,-50,1,2,-1,-50,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,香川県,7,10,-3,-30,7,10,-3,-30,5,6,-1,-16.7,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,愛媛県,8,7,1,14.3,8,8,0,0,4,8,-4,-50,100,114.3,-14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,高知県,6,1,5,500,5,2,3,150,4,3,1,33.3,83.3,200,-116.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,計,98,97,1,1,71,79,-8,-10.1,65,64,1,1.6,72.4,81.4,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,福岡県,51,42,9,21.4,31,27,4,14.8,28,17,11,64.7,60.8,64.3,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,佐賀県,2,2,0,0,1,3,-2,-66.7,0,3,-3,-100,50,150,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,長崎県,4,9,-5,-55.6,4,7,-3,-42.9,2,6,-4,-66.7,100,77.8,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,熊本県,12,11,1,9.1,9,10,-1,-10,10,11,-1,-9.1,75,90.9,-15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,大分県,9,8,1,12.5,8,8,0,0,7,7,0,0,88.9,100,-11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,宮崎県,9,5,4,80,10,4,6,150,7,4,3,75,111.1,80,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,鹿児島県,3,14,-11,-78.6,3,13,-10,-76.9,5,10,-5,-50,100,92.9,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,沖縄県,8,6,2,33.3,5,7,-2,-28.6,6,6,0,0,62.5,116.7,-54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第６表,,,重要犯罪・重要窃盗犯　都道府県別　認知・検挙件数・検挙人員　対前年比較　（強制性交等）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙人員,検挙人員,検挙人員,検挙人員,検挙率,検挙率,検挙率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,都道府県,"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減,増減率(％）,"2022年
1～12月","2021年
1～12月",増減ポイント,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
総数,,1655,1388,267,19.2,1401,1330,71,5.3,1339,1251,88,7,84.7,95.8,-11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,計,53,53,0,0,43,60,-17,-28.3,42,54,-12,-22.2,81.1,113.2,-32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,札幌方面,33,34,-1,-2.9,27,40,-13,-32.5,27,37,-10,-27,81.8,117.6,-35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,函館方面,4,1,3,300,4,2,2,100,3,2,1,50,100,200,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,旭川方面,4,7,-3,-42.9,2,7,-5,-71.4,2,4,-2,-50,50,100,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,釧路方面,7,8,-1,-12.5,6,8,-2,-25,6,8,-2,-25,85.7,100,-14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,北見方面,5,3,2,66.7,4,3,1,33.3,4,3,1,33.3,80,100,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
